regime,dataset_seed,sampling_attempts,n,T,dimension,bad_coordinate,eta,beta,radius_r,eta_r_sqrtT,theorem_radius_condition,initial_gradient_norm,min_nonzero_gradient_norm,first_update_gate,chain_gate,unit_ball_gate,max_iterate_norm,wstar_empirical_risk,max_suffix_empirical_risk,sam_empirical_upper_envelope,min_suffix_population_lower_certificate,max_suffix_population_lower_certificate,min_certificate_to_lower_scale,lower_scale_eta2_r2_T
fixed_r,6,1,6,32,2049,11,0.041666666666666664,6.0,0.5,0.11785113019775792,True,3.5673416507230964e-18,3.5673416507230964e-18,True,True,True,0.11097331976240324,0.0,0.0,6.0,0.0009478314256799675,0.003078720382342882,0.06824386264895767,0.013888888888888888
fixed_r,7,3,6,32,2049,53,0.041666666666666664,6.0,0.5,0.11785113019775792,True,3.689932815597256e-18,3.689932815597256e-18,True,True,True,0.1109733196944552,0.0,0.0,6.0,0.0009478314219479261,0.003078720378489067,0.06824386238025068,0.013888888888888888
fixed_r,8,1,6,32,2049,14,0.041666666666666664,6.0,0.5,0.11785113019775792,True,3.437760602349042e-18,3.437760602349042e-18,True,True,True,0.11097331983949374,0.0,0.0,6.0,0.0009478314299141574,0.003078720386715229,0.06824386295381935,0.013888888888888888
fixed_r,9,1,6,32,2049,32,0.041666666666666664,6.0,0.5,0.11785113019775792,True,3.69243677804492e-18,3.69243677804492e-18,True,True,True,0.11097331969311437,0.0,0.0,6.0,0.0009478314218742808,0.0030787203784130184,0.06824386237494823,0.013888888888888888
fixed_r,0,3,6,64,4097,21,0.041666666666666664,6.0,0.5,0.16666666666666666,True,1.5047751045690454e-19,1.5047751045690454e-19,True,True,True,0.15946051315386897,0.0,0.0,6.0,0.002037275398745167,0.006356864770147297,0.07334191435482601,0.027777777777777776
fixed_r,1,3,6,64,4097,15,0.041666666666666664,6.0,0.5,0.16666666666666666,True,1.570754151763415e-19,1.570754151763415e-19,True,True,True,0.15946051312252943,0.0,0.0,6.0,0.002037275396227223,0.006356864767593198,0.07334191426418003,0.027777777777777776
fixed_r,2,4,6,64,4097,2,0.041666666666666664,6.0,0.5,0.16666666666666666,True,1.6117410305026964e-19,1.6117410305026964e-19,True,True,True,0.159460513104353,0.0,0.0,6.0,0.002037275394766857,0.006356864766111862,0.07334191421160687,0.027777777777777776
fixed_r,3,1,6,64,4097,6,0.041666666666666664,6.0,0.5,0.16666666666666666,True,1.511980379129252e-19,1.511980379129252e-19,True,True,True,0.15946051315031348,0.0,0.0,6.0,0.0020372753984595044,0.006356864769857533,0.07334191434454217,0.027777777777777776
fixed_r,4,2,6,64,4097,2,0.041666666666666664,6.0,0.5,0.16666666666666666,True,1.5936555254102315e-19,1.5936555254102315e-19,True,True,True,0.15946051311225812,0.0,0.0,6.0,0.0020372753954019853,0.00635686476675611,0.07334191423447148,0.027777777777777776
fixed_r,5,4,6,64,4097,28,0.041666666666666664,6.0,0.5,0.16666666666666666,True,1.5672975353738793e-19,1.5672975353738793e-19,True,True,True,0.15946051312410578,0.0,0.0,6.0,0.002037275396353875,0.006356864767721668,0.0733419142687395,0.027777777777777776
fixed_r,6,1,6,64,4097,11,0.041666666666666664,6.0,0.5,0.16666666666666666,True,1.5776581241901113e-19,1.5776581241901113e-19,True,True,True,0.1594605131194016,0.0,0.0,6.0,0.00203727539597592,0.006356864767338285,0.07334191425513312,0.027777777777777776
fixed_r,7,3,6,64,4097,53,0.041666666666666664,6.0,0.5,0.16666666666666666,True,1.6318582272318194e-19,1.6318582272318194e-19,True,True,True,0.15946051309576567,0.0,0.0,6.0,0.002037275394076918,0.006356864765412016,0.07334191418676905,0.027777777777777776
fixed_r,8,1,6,64,4097,14,0.041666666666666664,6.0,0.5,0.16666666666666666,True,1.5203526861137007e-19,1.5203526861137007e-19,True,True,True,0.15946051314622442,0.0,0.0,6.0,0.0020372753981309755,0.006356864769524286,0.07334191433271513,0.027777777777777776
fixed_r,9,1,6,64,4097,32,0.041666666666666664,6.0,0.5,0.16666666666666666,True,1.6329667765230536e-19,1.6329667765230536e-19,True,True,True,0.15946051309529863,0.0,0.0,6.0,0.0020372753940393934,0.006356864765373953,0.07334191418541816,0.027777777777777776
fixed_r,0,3,6,128,8193,21,0.041666666666666664,6.0,0.5,0.23570226039551584,True,6.652573761463694e-21,6.652573761463694e-21,True,True,True,0.2272725470928929,0.0,0.0,6.0,0.004221052957121739,0.012913153621174357,0.0759789532281913,0.05555555555555555
fixed_r,1,3,6,128,8193,15,0.041666666666666664,6.0,0.5,0.23570226039551584,True,6.944240951796485e-21,6.944240951796485e-21,True,True,True,0.22727254708189973,0.0,0.0,6.0,0.00422105295585334,0.012913153619897444,0.07597895320536013,0.05555555555555555
fixed_r,2,4,6,128,8193,2,0.041666666666666664,6.0,0.5,0.23570226039551584,True,7.125433896987705e-21,7.125433896987705e-21,True,True,True,0.22727254707552363,0.0,0.0,6.0,0.00422105295511766,0.012913153619156827,0.07597895319211788,0.05555555555555555
fixed_r,3,1,6,128,8193,6,0.041666666666666664,6.0,0.5,0.23570226039551584,True,6.684428973969429e-21,6.684428973969429e-21,True,True,True,0.2272725470916456,0.0,0.0,6.0,0.004221052956977823,0.012913153621029476,0.07597895322560082,0.05555555555555555
fixed_r,4,2,6,128,8193,2,0.041666666666666664,6.0,0.5,0.23570226039551584,True,7.04548064896064e-21,7.04548064896064e-21,True,True,True,0.22727254707829672,0.0,0.0,6.0,0.004221052955437621,0.012913153619478935,0.07597895319787717,0.05555555555555555
fixed_r,5,4,6,128,8193,28,0.041666666666666664,6.0,0.5,0.23570226039551584,True,6.928943884475983e-21,6.928943884475983e-21,True,True,True,0.22727254708245329,0.0,0.0,6.0,0.004221052955917211,0.012913153619961744,0.07597895320650981,0.05555555555555555
fixed_r,6,1,6,128,8193,11,0.041666666666666664,6.0,0.5,0.23570226039551584,True,6.974764186188243e-21,6.974764186188243e-21,True,True,True,0.22727254708080244,0.0,0.0,6.0,0.0042210529557267324,0.012913153619769987,0.07597895320308119,0.05555555555555555
fixed_r,7,3,6,128,8193,53,0.041666666666666664,6.0,0.5,0.23570226039551584,True,7.214345594776298e-21,7.214345594776298e-21,True,True,True,0.22727254707251202,0.0,0.0,6.0,0.004221052954770177,0.012913153618807011,0.0759789531858632,0.05555555555555555
