n,dimension,dataset_seed,sampling_attempts,unseen_coordinate,unseen_coordinate_count,rho,radius_r,regime,flat_empirical_risk,flat_saer_exact,global_saer_lower_exact,flat_population_risk_exact,flat_population_risk_mc_8192,flat_population_mc_se,sharp_population_risk_exact,population_gap_exact,flat_is_saer_minimizer,flat_is_r_flat_when_r_le_rho
6,65,12,2,44,1,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.20086853027343757,0.002237394000589235,0.0,0.2025,True,False
6,65,12,2,44,1,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.13949203491210938,0.0015537458337425243,0.0,0.140625,True,True
6,65,12,2,44,1,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.13949203491210938,0.0015537458337425243,0.0,0.140625,True,True
6,65,12,2,44,1,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.13949203491210938,0.0015537458337425243,0.0,0.140625,True,False
6,65,12,2,44,1,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.0619964599609375,0.0006905537038855663,0.0,0.0625,True,True
6,65,12,2,44,1,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.0619964599609375,0.0006905537038855663,0.0,0.0625,True,True
6,65,12,2,44,1,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.0619964599609375,0.0006905537038855663,0.0,0.0625,True,False
6,65,13,4,4,3,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.24755859375,0.002762172746758469,0.0,0.25,True,True
6,65,13,4,4,3,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.24755859375,0.002762172746758469,0.0,0.25,True,True
6,65,13,4,4,3,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.24755859375,0.002762172746758469,0.0,0.25,True,False
6,65,13,4,4,3,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.20052246093750006,0.0022373599248743602,0.0,0.2025,True,True
6,65,13,4,4,3,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.20052246093750006,0.0022373599248743602,0.0,0.2025,True,True
6,65,13,4,4,3,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.20052246093750006,0.0022373599248743602,0.0,0.2025,True,False
6,65,13,4,4,3,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.139251708984375,0.0015537221700516388,0.0,0.140625,True,True
6,65,13,4,4,3,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.139251708984375,0.0015537221700516388,0.0,0.140625,True,True
